trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",35,17,25.54814263519201,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,5,-18.6671888019132,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,13,-24.545146335766468,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,6,23.447291552726167,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",35,0,-54.06863204895199,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,27.974590133750787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,11,-29.438269982242012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,3,27.887081734148516,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,14,20.100853957416206,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,0,35.433084137023805,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",35,6,39.3174223799917,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,10,17.523359161671607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,2,19.556206979851467,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",30,0,-21.295685503882062,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,10,10.138651601130125,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,13,11.690561590918609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,13,14.658334349856357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,11,-22.410225733367177,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,0,-5.9056733702442035,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",35,21,15.338419165253654,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,0,-24.712195809226596,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,0,-16.288158651220666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,15,9.048204315517937,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,0,0.8461597502104474,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,8,-11.591867536060878,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,7,35.98981093163481,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,5,-27.424444979941924,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,0,-39.202452166580294,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,8,-4.4091225097118985,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,10,15.818304187955313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,7,-19.308200688998845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",30,13,33.14346534629596,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",30,20,1.2725076289805664,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,6,18.142494642033014,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
